"Environmental Class","Environmental Subclass","Beneficiary Category","Beneficiary Subcategory","FEGS ID Number","Potentially Relevant NAICS Code","FEGS","Example","Importance","FEGS Measurement including Units","Measurement Type","Status","Source","Notes"
"Aquatic","Near Coastal Marine and Estuaries","Agricultural","Aquaculturists","14.0105","112","presence of the environment","","opportunity provided by the environment for cultivating aquatic organisms","NA","NA","NA","NA","NA"
"Aquatic","Near Coastal Marine and Estuaries","Commercial / Industrial","Food Extractors","14.0201","114, 311, 312, 454","flora","kelp, seaweed, pickleweed","edible organisms (i.e., flowers, plants, etc.) or associated products (i.e., fruit, greens, tubers, berries, sap) for commercial use or sale","NA","NA","NA","NA","NA"
"Aquatic","Near Coastal Marine and Estuaries","Commercial / Industrial","Food Extractors","14.0201","114, 311, 312, 454","fauna","fish, oysters, clams, mussels, crabs","edible organisms (i.e., birds, mammals, reptiles, etc.) for commercial use or sale","commerically target fish (biomass as a percentage of habitat area)","Stock","Proposed","Richard Fulton (USEPA), Marc Russell (USEPA)","Demand function: boat interaction with hotspots (index using a grid and distance from boat ramp)"
"Aquatic","Near Coastal Marine and Estuaries","Commercial / Industrial","Timber, Fiber, and Ornamental Extractors","14.0202","339, 424, 453, 454","fiber","grasses","non-cultivated fiber for commercial use or sale","NA","NA","NA","NA","NA"
"Aquatic","Near Coastal Marine and Estuaries","Commercial / Industrial","Timber, Fiber, and Ornamental Extractors","14.0202","339, 424, 453, 454","natural materials","shells, driftwood","non-cultivated ornamental products or by-products (from cultivation) used ornamentally for commercial use or sale","NA","NA","NA","NA","NA"
"Aquatic","Near Coastal Marine and Estuaries","Commercial / Industrial","Industrial Dischargers","14.0204","211, 212, 221, 311-339","presence of the environment","","opportunity to discharge into the environment","NA","NA","NA","NA","NA"
"Aquatic","Near Coastal Marine and Estuaries","Commercial / Industrial","Electric and other Energy Generators","14.0205","221","presence of the environment","","opportunity to install power generation structures, such as dams and water turbines","NA","NA","NA","NA","NA"
"Aquatic","Near Coastal Marine and Estuaries","Commercial / Industrial","Resource-Dependent Businesses","14.0206","487, 712, 713, 721, 722","presence of the environment","","opportunity for placement of infrastructure and reduced/increased risk of flooding, erosion, and pest infestation on the property","NA","NA","NA","NA","NA"
"Aquatic","Near Coastal Marine and Estuaries","Commercial / Industrial","Pharmaceutical and Food Supplement Suppliers","14.0207","325, 339, 424","flora","algae, kelp","organisms (i.e., flowers, plants, etc.) or associated products (i.e., fruit, greens, tubers, berries, sap) used in medicines or sold for medicinal purposes","presence of benthic habitat types indicative of pharmaceuticals weighted average of conditions","Stock","Proposed","Susan Yee (USEPA)","NA"
"Aquatic","Near Coastal Marine and Estuaries","Commercial / Industrial","Pharmaceutical and Food Supplement Suppliers","14.0207","325, 339, 424","fauna","fish for fish oil","organisms (i.e., birds, mammals, reptiles, etc.) or products associated with organisms (i.e., oils, fats, keratin, etc.) used in medicines or sold for medicinal purposes","NA","NA","NA","NA","NA"
"Aquatic","Near Coastal Marine and Estuaries","Commercial / Industrial","Fur / Hide Trappers and Hunters","14.0208","114","fauna","alligators, crocodiles, seals","organisms (i.e., mammals and reptiles) that provide fur or hides for commercial use or sale","NA","NA","NA","NA","NA"
"Aquatic","Near Coastal Marine and Estuaries","Government, Municipal, and Residential","Residential Property Owners","14.0303","531, 532, 814","presence of the environment","","opportunity for placement of infrastructure and reduced/increased risk of flooding, erosion, and pest infestation on the property","visible water bodies (presence or absence) rugosity (contour) of reefs","Stock","Proposed","Marc Russell (USEPA), Susan Yee (USEPA)","NA"
"Aquatic","Near Coastal Marine and Estuaries","Government, Municipal, and Residential","Military / Coast Guard","14.0304","928","presence of the environment","","opportunity for placement of infrastructure","NA","NA","NA","NA","NA"
"Aquatic","Near Coastal Marine and Estuaries","Government, Municipal, and Residential","Military / Coast Guard","14.0304","928","open space","","suitable conditions for training activities","NA","NA","NA","NA","NA"
"Aquatic","Near Coastal Marine and Estuaries","Commercial / Military Transportation","Transporters of Goods","14.0401","483","presence of the environment","","opportunity for the transportation of goods","NA","NA","NA","NA","NA"
"Aquatic","Near Coastal Marine and Estuaries","Commercial / Military Transportation","Transporters of People","14.0402","483, 487","presence of the environment","","opportunity for the transportation of people","NA","NA","NA","NA","NA"
"Aquatic","Near Coastal Marine and Estuaries","Subsistence","Food Subsisters","14.0502","None","flora","kelp, seaweed, pickleweed","edible organisms (i.e., flowers, plants, etc.) or associated products (i.e., fruit, greens, tubers, berries, sap) that are gathered for personal use (i.e., not for sale)","NA","NA","NA","NA","NA"
"Aquatic","Near Coastal Marine and Estuaries","Subsistence","Food Subsisters","14.0502","None","fauna","fish, oysters, clams, mussels, crabs","edible organisms (i.e., birds, mammals, reptiles, etc.) that are hunted for personal use (i.e., not for sale)","NA","NA","NA","NA","NA"
"Aquatic","Near Coastal Marine and Estuaries","Subsistence","Timber, Fiber, and Fur / Hide Subsisters","14.0503","None","fauna","alligators, crocodiles, seals","organisms (i.e., mammals and reptiles) that provide fur or hides used for clothing/warmth, infrastructure, housing, roofing, and/or fuel for personal use (i.e., not for sale)","NA","NA","NA","NA","NA"
"Aquatic","Near Coastal Marine and Estuaries","Subsistence","Timber, Fiber, and Fur / Hide Subsisters","14.0503","None","fiber","reeds, grasses, palm leaves","fiber used for clothing/warmth, infrastructure, housing, roofing, and/or fuel for personal use (i.e., not for sale)","NA","NA","NA","NA","NA"
"Aquatic","Near Coastal Marine and Estuaries","Subsistence","Timber, Fiber, and Fur / Hide Subsisters","14.0503","None","timber","driftwood","timber (i.e., trees) used for clothing/warmth, infrastructure, housing, roofing, and/or fuel for personal use (i.e., not for sale)","NA","NA","NA","NA","NA"
"Aquatic","Near Coastal Marine and Estuaries","Recreational","Experiencers and Viewers","14.0601","None","flora","","organisms (i.e., flowers, plants, etc.) that can be viewed","rugosity (contour) of reefs dive site favorability (weighted metric) visitation rates to dive sites","Use","Proposed","Bill Fisher (USEPA)","NA"
"Aquatic","Near Coastal Marine and Estuaries","Recreational","Experiencers and Viewers","14.0601","None","presence of the environment","","opportunity to view the environment and organisms within it","NA","NA","NA","NA","NA"
"Aquatic","Near Coastal Marine and Estuaries","Recreational","Experiencers and Viewers","14.0601","None","fauna","","organisms (i.e., birds, mammals, reptiles, etc.) that can be viewed","NA","NA","NA","NA","NA"
"Aquatic","Near Coastal Marine and Estuaries","Recreational","Experiencers and Viewers","14.0601","None","viewscapes","","landscape that provides a sensory experience","stony coral taxa richness sponge and gorgonians density and size fish taxa, abundance, size class, biomass","Stock","Proposed","Bill Fisher (USEPA)","NA"
"Aquatic","Near Coastal Marine and Estuaries","Recreational","Experiencers and Viewers","14.0601","None","sounds and scents","waves crashing, seagulls","sounds and scents that provide a sensory experience","NA","NA","NA","NA","NA"
"Aquatic","Near Coastal Marine and Estuaries","Recreational","Food Pickers and Gatherers","14.0602","None","flora","kelp, seaweed, pickleweed","edible organisms (i.e., flowers, plants, etc.) or associated products (i.e., fruit, greens, tubers, berries, sap) that are picked and/or gathered for personal use (i.e., not for sale)","NA","NA","NA","NA","NA"
"Aquatic","Near Coastal Marine and Estuaries","Recreational","Food Pickers and Gatherers","14.0602","None","fauna","oysters, clams, mussels, crabs","edible organisms (i.e., insects, some aquatic organisms, etc.) that are picked and/or gathered (i.e., not hunted or fished) for personal use (i.e., not for sale)","NA","NA","NA","NA","NA"
"Aquatic","Near Coastal Marine and Estuaries","Recreational","Hunters","14.0603","None","fauna","duck, geese, deer, moose","organisms (i.e., birds, mammals, reptiles, etc.) that can be hunted","NA","NA","NA","NA","NA"
"Aquatic","Near Coastal Marine and Estuaries","Recreational","Anglers","14.0604","None","fish","","fish in the water","NA","NA","NA","NA","NA"
"Aquatic","Near Coastal Marine and Estuaries","Recreational","Waders, Swimmers, and Divers","14.0605","None","presence of the environment","","opportunity and conditions for wading, swimming, and/or diving","NA","NA","NA","NA","NA"
"Aquatic","Near Coastal Marine and Estuaries","Recreational","Boaters","14.0606","None","presence of the environment","","opportunity for recreational boating","NA","NA","NA","NA","NA"
"Aquatic","Near Coastal Marine and Estuaries","Inspirational","Spiritual and Ceremonial Participants and Participants of Celebration","14.0701","813","presence of the environment","","opportunity and conditions for spiritual and ceremonial practices and celebrations","NA","NA","NA","NA","NA"
"Aquatic","Near Coastal Marine and Estuaries","Inspirational","Artists","14.0702","339, 423, 424, 512, 711","presence of the environment","","opportunity for a sensory experience [which may lead to the benefit of inspiration for art]","NA","NA","NA","NA","NA"
"Aquatic","Near Coastal Marine and Estuaries","Inspirational","Artists","14.0702","339, 423, 424, 512, 711","natural materials","driftwood, shells","natural materials that provide a sensory experience [which may lead to the benefic of inspiration for art] or can be directly used in art (e.g., sculpture, mixed media paintings, etc.)","NA","NA","NA","NA","NA"
"Aquatic","Near Coastal Marine and Estuaries","Inspirational","Artists","14.0702","339, 423, 424, 512, 711","viewscapes","","landscape that provides a sensory experience [which may lead to the benefic of inspiration for art] or can be directly used in art (e.g., films, soundtracks, etc.)","NA","NA","NA","NA","NA"
"Aquatic","Near Coastal Marine and Estuaries","Inspirational","Artists","14.0702","339, 423, 424, 512, 711","sounds and scents","waves crashing, seagulls","sounds and scents that provide a sensory experience [which may lead to the benefic of inspiration for art] or can be directly used in art (e.g., films, soundtracks, etc.)","NA","NA","NA","NA","NA"
"Aquatic","Near Coastal Marine and Estuaries","Learning","Educators and Students","14.0801","611","presence of the environment","","opportunities to understand, communicate, and educate","NA","NA","NA","NA","NA"
"Aquatic","Near Coastal Marine and Estuaries","Learning","Researchers","14.0802","541, 611","presence of the environment","","research opportunities","NA","NA","NA","NA","NA"
"Aquatic","Near Coastal Marine and Estuaries","Non-Use","People Who Care (Existence)","14.0901","813, 924","presence of the environment","","knowing that the environment exists","weighted averages of things people said they cared about","Stock","Proposed","Bill Fisher (USEPA)","NA"
"Aquatic","Near Coastal Marine and Estuaries","Non-Use","People Who Care (Option / Bequest)","14.0902","813, 924","presence of the environment","","knowing that the environment exists","NA","NA","NA","NA","NA"
"Aquatic","Open Oceans and Seas","Agricultural","Aquaculturists","15.0105","112","presence of the environment","","opportunity provided by the environment for cultivating aquatic organisms","NA","NA","NA","NA","NA"
"Aquatic","Open Oceans and Seas","Commercial / Industrial","Food Extractors","15.0201","114, 311, 312, 454","flora","kelp","edible organisms (i.e., flowers, plants, etc.) or associated products (i.e., fruit, greens, tubers, berries, sap) for commercial use or sale","NA","NA","NA","NA","NA"
"Aquatic","Open Oceans and Seas","Commercial / Industrial","Food Extractors","15.0201","114, 311, 312, 454","fauna","fish, whales, shark","edible organisms (i.e., birds, mammals, reptiles, etc.) for commercial use or sale","NA","NA","NA","NA","NA"
"Aquatic","Open Oceans and Seas","Commercial / Industrial","Industrial Dischargers","15.0204","211, 212","presence of the environment","","opportunity to discharge into the environment (by oil rigs and cruise liners, in this case)","NA","NA","NA","NA","NA"
"Aquatic","Open Oceans and Seas","Commercial / Industrial","Electric and other Energy Generators","15.0205","221","presence of the environment","","opportunity to install power generation structures","NA","NA","NA","NA","NA"
"Aquatic","Open Oceans and Seas","Commercial / Industrial","Resource-Dependent Businesses","15.0206","487, 712, 713, 721, 722","presence of the environment","","opportunity for placement of infrastructure (specifically, cruise liners)","NA","NA","NA","NA","NA"
"Aquatic","Open Oceans and Seas","Commercial / Industrial","Pharmaceutical and Food Supplement Suppliers","15.0207","325, 339, 424","flora","Sargassum","organisms (i.e., flowers, plants, etc.) or associated products (i.e., fruit, greens, tubers, berries, sap) used in medicines or sold for medicinal purposes","NA","NA","NA","NA","NA"
"Aquatic","Open Oceans and Seas","Commercial / Industrial","Pharmaceutical and Food Supplement Suppliers","15.0207","325, 339, 424","fauna","fish for fish oil","organisms (i.e., birds, mammals, reptiles, etc.) or products associated with organisms (i.e., oils, fats, keratin, etc.) used in medicines or sold for medicinal purposes","NA","NA","NA","NA","NA"
"Aquatic","Open Oceans and Seas","Government, Municipal, and Residential","Military / Coast Guard","15.0304","928","presence of the environment","","opportunity for placement of infrastructure","NA","NA","NA","NA","NA"
"Aquatic","Open Oceans and Seas","Government, Municipal, and Residential","Military / Coast Guard","15.0304","928","open space","","suitable conditions for training activities","NA","NA","NA","NA","NA"
"Aquatic","Open Oceans and Seas","Commercial / Military Transportation","Transporters of Goods","15.0401","483","presence of the environment","","opportunity for the transportation of goods","NA","NA","NA","NA","NA"
"Aquatic","Open Oceans and Seas","Commercial / Military Transportation","Transporters of People","15.0402","483, 487","presence of the environment","","opportunity for the transportation of people","NA","NA","NA","NA","NA"
"Aquatic","Open Oceans and Seas","Recreational","Experiencers and Viewers","15.0601","None","presence of the environment","whales, sharks, dolphin","opportunity to view the environment and organisms within it","NA","NA","NA","NA","NA"
"Aquatic","Open Oceans and Seas","Recreational","Experiencers and Viewers","15.0601","None","fauna","","organisms (i.e., birds, mammals, reptiles, etc.) that can be viewed","NA","NA","NA","NA","NA"
"Aquatic","Open Oceans and Seas","Recreational","Experiencers and Viewers","15.0601","None","viewscapes","","landscape that provides a sensory experience","NA","NA","NA","NA","NA"
"Aquatic","Open Oceans and Seas","Recreational","Experiencers and Viewers","15.0601","None","sounds and scents","","sounds and scents that provide a sensory experience","NA","NA","NA","NA","NA"
"Aquatic","Open Oceans and Seas","Recreational","Hunters","15.0603","None","fauna","whales, albatrosses","organisms (i.e., birds, mammals, reptiles, etc.) that can be hunted","NA","NA","NA","NA","NA"
"Aquatic","Open Oceans and Seas","Recreational","Anglers","15.0604","None","fish","","fish in the water","NA","NA","NA","NA","NA"
"Aquatic","Open Oceans and Seas","Recreational","Waders, Swimmers, and Divers","15.0605","None","presence of the environment","","opportunity and conditions for wading, swimming, and/or diving","NA","NA","NA","NA","NA"
"Aquatic","Open Oceans and Seas","Recreational","Boaters","15.0606","None","presence of the environment","","opportunity for recreational boating","NA","NA","NA","NA","NA"
"Aquatic","Open Oceans and Seas","Inspirational","Spiritual and Ceremonial Participants and Participants of Celebration","15.0701","813","presence of the environment","","opportunity and conditions for spiritual and ceremonial practices and celebrations","NA","NA","NA","NA","NA"
"Aquatic","Open Oceans and Seas","Inspirational","Artists","15.0702","339, 423, 424, 512, 711","presence of the environment","","opportunity for a sensory experience [which may lead to the benefit of inspiration for art]","NA","NA","NA","NA","NA"
"Aquatic","Open Oceans and Seas","Inspirational","Artists","15.0702","339, 423, 424, 512, 711","natural materials","driftwood","natural materials that provide a sensory experience [which may lead to the benefic of inspiration for art] or can be directly used in art (e.g., sculpture, mixed media paintings, etc.)","NA","NA","NA","NA","NA"
"Aquatic","Open Oceans and Seas","Inspirational","Artists","15.0702","339, 423, 424, 512, 711","viewscapes","","landscape that provides a sensory experience [which may lead to the benefic of inspiration for art] or can be directly used in art (e.g., films, soundtracks, etc.)","NA","NA","NA","NA","NA"
"Aquatic","Open Oceans and Seas","Inspirational","Artists","15.0702","339, 423, 424, 512, 711","sounds and scents","whale calls, waves","sounds and scents that provide a sensory experience [which may lead to the benefic of inspiration for art] or can be directly used in art (e.g., films, soundtracks, etc.)","NA","NA","NA","NA","NA"
"Aquatic","Open Oceans and Seas","Learning","Educators and Students","15.0801","611","presence of the environment","","opportunities to understand, communicate, and educate","NA","NA","NA","NA","NA"
"Aquatic","Open Oceans and Seas","Learning","Researchers","15.0802","541, 611","presence of the environment","","research opportunities","NA","NA","NA","NA","NA"
"Aquatic","Open Oceans and Seas","Non-Use","People Who Care (Existence)","15.0901","813, 924","presence of the environment","","knowing that the environment exists","NA","NA","NA","NA","NA"
"Aquatic","Open Oceans and Seas","Non-Use","People Who Care (Option / Bequest)","15.0902","813, 924","presence of the environment","","knowing that the environment exists","NA","NA","NA","NA","NA"
"Aquatic","Groundwater","Agricultural","Aquaculturists","16.0105","112","presence of the environment","","opportunity provided by the environment for cultivating aquatic organisms","NA","NA","NA","NA","NA"
"Aquatic","Groundwater","Commercial / Industrial","Industrial Dischargers","16.0204","211, 212","presence of the environment","","opportunity to discharge into the environment","NA","NA","NA","NA","NA"
"Aquatic","Groundwater","Commercial / Industrial","Resource-Dependent Businesses","16.0206","712, 713, 721, 722","presence of the environment","","opportunity for placement of infrastructure and reduced/increased risk of subsidence and sinkholes on the property","NA","NA","NA","NA","NA"
"Aquatic","Groundwater","Government, Municipal, and Residential","Residential Property Owners","16.0303","531, 532, 814","presence of the environment","","opportunity for placement of infrastructure and reduced/increased risk of subsidence and sinkholes on the property","NA","NA","NA","NA","NA"
"Aquatic","Groundwater","Recreational","Experiencers and Viewers","16.0601","None","presence of the environment","geysers","opportunity to view the environment and organisms within it, and groundwater phenomena","NA","NA","NA","NA","NA"
"Aquatic","Groundwater","Recreational","Experiencers and Viewers","16.0601","None","viewscapes","","landscape that provides a sensory experience","NA","NA","NA","NA","NA"
"Aquatic","Groundwater","Recreational","Experiencers and Viewers","16.0601","None","sounds and scents","","sounds and scents that provide a sensory experience","NA","NA","NA","NA","NA"
"Aquatic","Groundwater","Recreational","Waders, Swimmers, and Divers","16.0605","None","presence of the environment","","opportunity and conditions for wading and swimming (particularly in hot or mineral springs), and/or diving (particularly in caves)","NA","NA","NA","NA","NA"
"Aquatic","Groundwater","Recreational","Boaters","16.0606","None","presence of the environment","","opportunity for recreational boating (i.e., in caves)","NA","NA","NA","NA","NA"
"Aquatic","Groundwater","Inspirational","Spiritual and Ceremonial Participants and Participants of Celebration","16.0701","813","presence of the environment","","opportunity and conditions for spiritual and ceremonial practices and celebrations","NA","NA","NA","NA","NA"
"Aquatic","Groundwater","Inspirational","Artists","16.0702","339, 423, 424, 512, 711","presence of the environment","","opportunity for a sensory experience [which may lead to the benefit of inspiration for art]","NA","NA","NA","NA","NA"
"Aquatic","Groundwater","Inspirational","Artists","16.0702","339, 423, 424, 512, 711","viewscapes","","landscape that provides a sensory experience [which may lead to the benefic of inspiration for art] or can be directly used in art (e.g., films, soundtracks, etc.)","NA","NA","NA","NA","NA"
"Aquatic","Groundwater","Inspirational","Artists","16.0702","339, 423, 424, 512, 711","sounds and scents","water dripping in caves, geysers","sounds and scents that provide a sensory experience [which may lead to the benefic of inspiration for art] or can be directly used in art (e.g., films, soundtracks, etc.)","NA","NA","NA","NA","NA"
"Aquatic","Groundwater","Learning","Educators and Students","16.0801","611","presence of the environment","","opportunities to understand, communicate, and educate","NA","NA","NA","NA","NA"
"Aquatic","Groundwater","Learning","Researchers","16.0802","541, 611","presence of the environment","","research opportunities","NA","NA","NA","NA","NA"
"Aquatic","Groundwater","Non-Use","People Who Care (Existence)","16.0901","813, 924","presence of the environment","","knowing that the environment exists","NA","NA","NA","NA","NA"
"Aquatic","Groundwater","Non-Use","People Who Care (Option / Bequest)","16.0902","813, 924","presence of the environment","","knowing that the environment exists","NA","NA","NA","NA","NA"
"Atmospheric","Atmosphere","Agricultural","CAFO Operators","21.0102","112","presence of the environment","","opportunity to discharge odors into the environment","NA","NA","NA","NA","NA"
"Atmospheric","Atmosphere","Agricultural","CAFO Operators","21.0102","112","air","","medium for and capacity to dissipate odors produced by [dense herds of] livestock","NA","NA","NA","NA","NA"
"Atmospheric","Atmosphere","Agricultural","CAFO Operators","21.0102","112","weather","","for outdoor CAFOs, suitable atmospheric conditions [in temperature, precipitation, or wind] for livestock survival","NA","NA","NA","NA","NA"
"Atmospheric","Atmosphere","Agricultural","Livestock Grazers","21.0103","112","weather","","for outdoor CAFOs, suitable atmospheric conditions [in temperature, precipitation, or wind] for livestock survival","NA","NA","NA","NA","NA"
"Atmospheric","Atmosphere","Agricultural","Farmers","31.0106","111, 113","weather","","suitable atmospheric conditions [in temperature, precipitation, or wind] for farming activities","NA","NA","NA","NA","NA"
"Atmospheric","Atmosphere","Agricultural","Foresters","31.0107","113","weather","","suitable atmospheric conditions [in temperature, precipitation, or wind] for forestry activities","NA","NA","NA","NA","NA"
"Atmospheric","Atmosphere","Commercial / Industrial","Residential Property Owners","31.0203","531, 532, 814","presence of the environment","","reduced/increased risk of damage of the property, for example, by lightning strikes","NA","NA","NA","NA","NA"
"Atmospheric","Atmosphere","Commercial / Industrial","Industrial Dischargers","31.0204","211, 212, 221, 311-339","presence of the environment","","opportunity to discharge into the environment","NA","NA","NA","NA","NA"
"Atmospheric","Atmosphere","Commercial / Industrial","Industrial Dischargers","31.0204","211, 212, 221, 311-339","air","","medium for receiving industrial discharge","NA","NA","NA","NA","NA"
"Atmospheric","Atmosphere","Commercial / Industrial","Electric and other Energy Generators","31.0205","221","presence of the environment","","opportunity to install power generation structures","NA","NA","NA","NA","NA"
"Atmospheric","Atmosphere","Commercial / Industrial","Electric and other Energy Generators","31.0205","221","wind","","suitable wind speeds for power generation","NA","NA","NA","NA","NA"
"Atmospheric","Atmosphere","Commercial / Industrial","Resource-Dependent Businesses","31.0206","487, 712, 713, 721, 722","presence of the environment","","reduced/increased risk of damage of the property, for example, by lightning strikes","NA","NA","NA","NA","NA"
"Atmospheric","Atmosphere","Commercial / Industrial","Resource-Dependent Businesses","31.0206","487, 712, 713, 721, 722","air","","suitable [clean /clear] air for establishing and maintaining property, and the opportunity for viewscapes","NA","NA","NA","NA","NA"
"Atmospheric","Atmosphere","Commercial / Industrial","Resource-Dependent Businesses","31.0206","487, 712, 713, 721, 722","weather","","suitable atmospheric conditions [in temperature, precipitation, or wind] for establishing and maintaining property","NA","NA","NA","NA","NA"
"Atmospheric","Atmosphere","Government, Municipal, and Residential","Military / Coast Guard","31.0304","928","presence of the environment","","opportunity for training activities","NA","NA","NA","NA","NA"
"Atmospheric","Atmosphere","Government, Municipal, and Residential","Military / Coast Guard","31.0304","928","open space","","suitable conditions for training activities","NA","NA","NA","NA","NA"
"Atmospheric","Atmosphere","Commercial / Military Transportation","Transporters of Goods","31.0401","481","presence of the environment","","opportunity for the transportation of goods","NA","NA","NA","NA","NA"
"Atmospheric","Atmosphere","Commercial / Military Transportation","Transporters of Goods","31.0401","481","air","","medium for and conditions that support the transportation of goods","NA","NA","NA","NA","NA"
"Atmospheric","Atmosphere","Commercial / Military Transportation","Transporters of People","31.0402","481, 487","presence of the environment","","opportunity for the transportation of people","NA","NA","NA","NA","NA"
"Atmospheric","Atmosphere","Commercial / Military Transportation","Transporters of People","31.0402","481, 487","air","","medium for and conditions that support the transportation of people","NA","NA","NA","NA","NA"
"Atmospheric","Atmosphere","Recreational","Experiencers and Viewers","31.0601","None","presence of the environment","","opportunity to view the environment and organisms within it, and atmospheric phenomena","NA","NA","NA","NA","NA"
"Atmospheric","Atmosphere","Recreational","Experiencers and Viewers","31.0601","None","fauna","","organisms (specifically, birds) that can be viewed","NA","NA","NA","NA","NA"
"Atmospheric","Atmosphere","Recreational","Experiencers and Viewers","31.0601","None","viewscapes","","sky that provides a sensory experience","NA","NA","NA","NA","NA"
"Atmospheric","Atmosphere","Recreational","Experiencers and Viewers","31.0601","None","sounds and scents","","sounds and scents that provide a sensory experience","NA","NA","NA","NA","NA"
"Atmospheric","Atmosphere","Recreational","Experiencers and Viewers","31.0601","None","air","","suitable [clean / clear] air for visibility","NA","NA","NA","NA","NA"
"Atmospheric","Atmosphere","Recreational","Experiencers and Viewers","31.0601","None","wind","","wind for wind-dependent sports and recreation","NA","NA","NA","NA","NA"
"Atmospheric","Atmosphere","Recreational","Experiencers and Viewers","31.0601","None","atmospheric phenomena","clouds, sunsets","atmospheric phenomena that can be viewed","NA","NA","NA","NA","NA"
"Atmospheric","Atmosphere","Recreational","Boaters","31.0606","None","wind","","opportunity and conditions provided by wind for recreational [sail]boating","NA","NA","NA","NA","NA"
"Atmospheric","Atmosphere","Inspirational","Spiritual and Ceremonial Participants and Participants of Celebration","31.0701","813","presence of the environment","","opportunity and conditions for spiritual and ceremonial practices and celebrations","NA","NA","NA","NA","NA"
"Atmospheric","Atmosphere","Inspirational","Artists","31.0702","512, 711","presence of the environment","","opportunity for a sensory experience [which may lead to the benefit of inspiration for art]","NA","NA","NA","NA","NA"
"Atmospheric","Atmosphere","Inspirational","Artists","31.0702","512, 711","viewscapes","","sky that provides a sensory experience [which may lead to the benefic of inspiration for art] or can be directly used in art (e.g., films, soundtracks, etc.)","NA","NA","NA","NA","NA"
"Atmospheric","Atmosphere","Inspirational","Artists","31.0702","512, 711","sounds and scents","thunder, wind blowing","sounds and scents that provide a sensory experience [which may lead to the benefic of inspiration for art] or can be directly used in art (e.g., films, soundtracks, etc.)","NA","NA","NA","NA","NA"
"Atmospheric","Atmosphere","Learning","Educators and Students","31.0801","611","presence of the environment","","opportunities to understand, communicate, and educate","NA","NA","NA","NA","NA"
"Atmospheric","Atmosphere","Learning","Researchers","31.0802","541, 611","presence of the environment","","research opportunities","NA","NA","NA","NA","NA"
"Atmospheric","Atmosphere","Non-Use","People Who Care (Existence)","31.0901","813, 924","presence of the environment","","knowing that the environment exists","NA","NA","NA","NA","NA"
"Atmospheric","Atmosphere","Non-Use","People Who Care (Option / Bequest)","31.0902","813, 924","presence of the environment","","knowing that the environment exists","NA","NA","NA","NA","NA"
"Atmospheric","Atmosphere","Humanity","All Humans","31.1001","None","air","","suitable [healthful] air to breathe","NA","NA","NA","NA","NA"
"Terrestrial","Forests","Agricultural","Foresters","11.0107","113","open space","","suitable conditions (i.e., land) in which trees grow and to cultivate trees","NA","NA","NA","NA","NA"
"Terrestrial","Forests","Agricultural","Foresters","11.0107","113","soil","","suitable soil in which trees can be cultivated (NOT cultivated trees themselves)","NA","NA","NA","NA","NA"
"Terrestrial","Forests","Commercial / Industrial","Food Extractors","11.0201","113, 114, 311, 312, 454","flora","garlic mustard, pawpaw, blackberries, maple sap","edible organisms (i.e., flowers, plants, etc.) or associated products (i.e., fruit, greens, tubers, berries, sap) for commercial use or sale","NA","NA","NA","NA","NA"
"Terrestrial","Forests","Commercial / Industrial","Food Extractors","21.0201","113, 114, 311, 312, 454","fauna","deer, bear, rabbit, elk, grouse, turkey, boar","edible organisms (i.e., birds, mammals, reptiles, etc.) for commercial use or sale","NA","NA","NA","NA","NA"
"Terrestrial","Forests","Commercial / Industrial","Food Extractors","21.0201","113, 114, 311, 312, 454","fungi","","edible organisms (i.e., mushrooms, shelf fungus, puffballs, etc.) for commercial use or sale","NA","NA","NA","NA","NA"
"Terrestrial","Forests","Commercial / Industrial","Timber, Fiber, and Ornamental Extractors","21.0202","113, 339, 424, 453, 454","fiber","cork","non-cultivated fiber for commercial use or sale","NA","NA","NA","NA","NA"
"Terrestrial","Forests","Commercial / Industrial","Timber, Fiber, and Ornamental Extractors","21.0202","113, 339, 424, 453, 454","natural materials","rubber, lichens, mosses","non-cultivated ornamental products or by-products (from cultivation) used ornamentally for commercial use or sale","NA","NA","NA","NA","NA"
"Terrestrial","Forests","Commercial / Industrial","Timber, Fiber, and Ornamental Extractors","21.0202","113, 339, 424, 453, 454","timber","firs, pines, oaks","non-cultivated timber (i.e., trees) for commercial use or sale","NA","NA","NA","NA","NA"
"Terrestrial","Forests","Commercial / Industrial","Resource-Dependent Businesses","21.0206","487, 712, 713, 721, 722","presence of the environment","","opportunity for placement of infrastructure and reduced/increased risk of erosion, fire, and pest infestation on the property","NA","NA","NA","NA","NA"
"Terrestrial","Forests","Commercial / Industrial","Pharmaceutical and Food Supplement Suppliers","21.0207","325, 339, 424","flora","ginseng, bloodroot, cocoa","organisms (i.e., flowers, plants, etc.) or associated products (i.e., fruit, greens, tubers, berries, sap) used in medicines or sold for medicinal purposes","NA","NA","NA","NA","NA"
"Terrestrial","Forests","Commercial / Industrial","Pharmaceutical and Food Supplement Suppliers","21.0207","325, 339, 424","fauna","deer antler velvet, bear bladders","organisms (i.e., birds, mammals, reptiles, etc.) or products associated with organisms (i.e., oils, fats, keratin, etc.) used in medicines or sold for medicinal purposes","NA","NA","NA","NA","NA"
